Date,Open,High,Low,Close,Adj Close,Volume
12/18/2012,358.658661,364.914917,357.882874,360.895905,360.895905,6003700
12/19/2012,360.715729,361.861847,358.6987,360.415405,360.415405,3833300
12/20/2012,361.992004,362.687683,358.843842,361.541534,361.541534,3310600
12/21/2012,357.342346,359.769775,355.615601,358.173187,358.173187,7044900
12/24/2012,357.61261,357.947937,354.089081,355.105103,355.105103,1680100
12/26/2012,354.389404,356.796783,351.556549,354.789795,354.789795,2362400
12/27/2012,353.92392,354.77478,349.654663,353.498505,353.498505,3291500
12/28/2012,351.196198,353.808807,350.355347,350.355347,350.355347,2801100
12/31/2012,350.350342,355.640656,348.348358,354.044037,354.044037,3990800
1/2/2013,360.070068,363.863861,358.633636,361.987,361.987,5077500
1/3/2013,362.82782,366.331329,360.720734,362.197205,362.197205,4631700
1/4/2013,365.035034,371.10611,364.204193,369.35434,369.35434,5521400
1/7/2013,368.093079,370.060059,365.65567,367.742737,367.742737,3308000
1/8/2013,368.138153,368.518524,362.577576,367.017029,367.017029,3348800
1/9/2013,366.501495,369.544556,364.664673,369.429443,369.429443,4045300
1/10/2013,371.786774,372.872864,367.117126,371.111115,371.111115,3667700
1/11/2013,371.371368,371.586578,368.518524,370.365356,370.365356,2567800
1/14/2013,368.868866,371.471466,361.53653,361.987,361.987,5722000
1/15/2013,360.025024,367.867859,356.406403,362.82782,362.82782,7847500
1/16/2013,361.561554,362.532532,357.1922,357.952942,357.952942,4042700
1/17/2013,359.214203,360.180176,355.865875,356.016022,356.016022,4418500
1/18/2013,355.535522,356.74173,351.016022,352.607605,352.607605,6447100
1/22/2013,352.682678,353.02301,348.108093,351.786774,351.786774,7577200
1/23/2013,368.363373,374.874878,368.263275,371.121124,371.121124,11806300
1/24/2013,370.990997,378.793793,370.625641,377.482483,377.482483,6758600
1/25/2013,375.760773,379.619629,375.500488,377.212219,377.212219,4447300
1/28/2013,376.256256,378.178192,374.319305,375.740753,375.740753,3250900
1/29/2013,373.748749,378.853851,373.643646,377.217224,377.217224,3490700
1/30/2013,377.247253,380.855865,376.831818,377.292297,377.292297,3462500
1/31/2013,375.630646,379.189178,375.500488,378.223236,378.223236,3265100
2/1/2013,379.479492,388.68869,379.429443,388.188202,388.188202,7484700
2/4/2013,384.229218,385.620605,379.514526,379.889893,379.889893,6074900
2/5/2013,380.945953,385.940948,380.115112,383.253265,383.253265,3737600
2/6/2013,379.914917,386.866852,379.629639,385.470459,385.470459,4152000
2/7/2013,385.235229,389.7948,383.133148,387.362366,387.362366,5674700
2/8/2013,390.455444,393.728729,390.170166,393.078064,393.078064,6034100
2/11/2013,389.5896,391.891907,387.262268,391.601593,391.601593,4331200
2/12/2013,391.266266,394.34433,390.075073,390.740753,390.740753,3714200
2/13/2013,390.455444,393.068054,390.375366,391.821808,391.821808,2394000
2/14/2013,390.255249,394.764771,389.274261,394.304291,394.304291,3467100
2/15/2013,394.094086,397.027039,393.928925,396.841827,396.841827,5454100
2/19/2013,398.393402,403.9039,398.038025,403.828827,403.828827,5857700
2/20/2013,403.05304,404.889893,396.29129,396.626617,396.626617,5522800
2/21/2013,399.399414,403.128143,396.006012,398.163177,398.163177,7005700
2/22/2013,400.030029,401.026031,397.297302,400.255249,400.255249,4103600
2/25/2013,401.551544,404.609619,395.640656,395.780792,395.780792,4603100
2/26/2013,397.897888,398.373383,392.59259,395.460449,395.460449,4400500
2/27/2013,397.797791,402.777771,395.950958,400.290283,400.290283,4048100
2/28/2013,400.950958,403.898895,400.915924,401.001007,401.001007,4527000
3/1/2013,399.299286,403.973969,398.47348,403.498505,403.498505,4346400
3/4/2013,403.05304,411.831818,402.902893,411.161163,411.161163,5545600
3/5/2013,414.879883,420.495483,414.864868,419.719727,419.719727,8080100
3/6/2013,420.935944,422.422424,414.819824,416.10611,416.10611,5740200
3/7/2013,417.447449,418.728729,415.2052,416.716705,416.716705,4101200
3/8/2013,417.667664,417.877869,412.937927,416.176178,416.176178,5817900
3/11/2013,416.261261,420.270264,416.166168,417.82782,417.82782,3186200
3/12/2013,415.770782,416.361359,412.247253,414.219208,414.219208,4012500
3/13/2013,414.364349,415.760773,411.566559,413.068054,413.068054,3279300
3/14/2013,413.908905,413.908905,409.104095,411.181183,411.181183,3299000
3/15/2013,409.659668,410.560547,407.077087,407.557556,407.557556,6193200
3/18/2013,402.902893,406.786774,401.136139,404.299286,404.299286,3672900
3/19/2013,406.026031,410.035034,403.628632,406.066071,406.066071,4192200
3/20/2013,408.823822,409.164154,406.126129,407.762756,407.762756,2924600
3/21/2013,406.051056,408.868866,405.330322,406.036041,406.036041,2952200
3/22/2013,407.777771,408.028015,405.22522,405.560547,405.560547,2973400
3/25/2013,406.611603,410.025024,403.813812,405.22522,405.22522,3420500
3/26/2013,407.157166,407.40741,404.299286,406.616608,406.616608,2381400
3/27/2013,403.743744,403.9039,401.066071,401.73172,401.73172,4322000
3/28/2013,402.3974,403.088074,397.047058,397.492493,397.492493,4571000
4/1/2013,397.902893,401.52652,397.022034,400.996002,400.996002,3610900
4/2/2013,402.672668,407.822815,402.402405,406.926941,406.926941,4078900
4/3/2013,407.137146,407.507507,400.735748,403.50351,403.50351,3473500
4/4/2013,402.527527,403.27829,396.046051,397.932922,397.932922,4890300
4/5/2013,393.423431,393.888885,388.588593,391.916931,391.916931,6860900
4/8/2013,389.764771,390.165161,384.584595,387.812805,387.812805,5658500
4/9/2013,388.138153,392.267273,386.941956,389.214203,389.214203,4310200
4/10/2013,391.851837,396.571564,388.388397,395.485474,395.485474,3953200
4/11/2013,396.836823,396.94696,392.422424,395.590576,395.590576,4053300
4/12/2013,396.391388,396.446442,391.856842,395.42041,395.42041,3270100
4/15/2013,393.368378,398.898895,388.898895,391.356354,391.356354,4901200
4/16/2013,393.68869,398.398407,392.352356,397.082092,397.082092,3480500
4/17/2013,393.768768,395.815826,389.439453,391.671661,391.671661,4069900
4/18/2013,393.068054,393.293304,381.011017,383.338348,383.338348,6638300
4/19/2013,384.964966,402.122131,383.513519,400.335327,400.335327,11594700
4/22/2013,400.700714,402.382385,387.887878,400.455444,400.455444,5761000
4/23/2013,400.900909,408.158173,400.580566,404.35434,404.35434,4580000
4/24/2013,404.459473,409.409424,404.404419,407.132141,407.132141,3654500
4/25/2013,408.533539,408.643646,404.219208,404.954956,404.954956,3980400
4/26/2013,404.204193,404.274261,398.68869,401.111115,401.111115,4970400
4/29/2013,402.027039,411.761749,401.901917,409.939941,409.939941,4596900
4/30/2013,409.909912,414.234222,409.249237,412.697693,412.697693,4608700
